Severity	Code	Description	Project	File	Line	Suppression State
Error	XDG0008	The name "MainViewModel" does not exist in the namespace "clr-namespace:MobileLinesManager.ViewModels".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	26	
Error (active)	CS1503	Argument 1: cannot convert from 'MobileLinesManager.Data.AppDbContext' to 'System.IServiceProvider'	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\MainViewModel.cs	24	
Error	XDG0006	The namespace prefix "converters" is not defined.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\DashboardView.xaml	13	
Error	XDG0008	The name "ReportsViewModel" does not exist in the namespace "clr-namespace:MobileLinesManager.ViewModels".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	27	
Error	XDG0008	The name "DashboardView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	30	
Error	XDG0008	The name "LinesView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	31	
Error	XDG0008	The name "AssignmentsView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	32	
Error	XDG0008	The name "CategoriesView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	33	
Error	XDG0008	The name "ReportsView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	34	
Error	XDG0008	The name "AuditTrailViewModel" does not exist in the namespace "clr-namespace:MobileLinesManager.ViewModels".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	36	
Error	XDG0008	The name "AuditTrailView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	37	
Error	XDG0008	The name "SettingsViewModel" does not exist in the namespace "clr-namespace:MobileLinesManager.ViewModels".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	39	
Error	XDG0008	The name "SettingsView" does not exist in the namespace "clr-namespace:MobileLinesManager.Views".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\MainWindow.xaml	40	
Error	XDG0008	The name "HexToBrushConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	5	
Error	XDG0008	The name "BoolToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	6	
Error	XDG0008	The name "BoolToTextConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	7	
Error	XDG0008	The name "StatusToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	8	
Error	XDG0008	The name "InverseBoolConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	9	
Error	XDG0008	The name "NullToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	10	
Error	XDG0008	The name "ViewToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	11	
Error	XDG0008	HexToBrushConverter is not supported in a Windows Presentation Foundation (WPF) project.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\DashboardView.xaml	13	
Error	XLS0414	The type 'converters:HexToBrushConverter' was not found. Verify that you are not missing an assembly reference and that all referenced assemblies have been built.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\DashboardView.xaml	13	
