Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0535	'ReportService' does not implement interface member 'IReportService.ExportLinesToExcelAsync(IEnumerable<Line>, string)'	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	16	
Error (active)	CS0246	The type or namespace name 'Line' could not be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	331	
Error (active)	CS1061	'AssignmentLog' does not contain a definition for 'AssignedDate' and no accessible extension method 'AssignedDate' accepting a first argument of type 'AssignmentLog' could be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	492	
Error (active)	CS1061	'AssignmentLog' does not contain a definition for 'AssignedDate' and no accessible extension method 'AssignedDate' accepting a first argument of type 'AssignmentLog' could be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	492	
Error	XDG-0001	The resource "BoolToTextConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\CategoriesView.xaml	54	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\CategoriesView.xaml	128	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\CategoriesView.xaml	133	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\CategoriesView.xaml	145	
Error	XDG-0001	The resource "BoolToTextConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\LinesView.xaml	100	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\LinesView.xaml	164	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\LinesView.xaml	169	
Error	XDG-0001	The resource "BoolToVisibilityConverter" has an incompatible type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\LinesView.xaml	181	
Error	XDG0008	The name "HexToBrushConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	5	
Error	XDG0008	The name "BoolToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	6	
Error	XDG0008	The name "BoolToTextConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	7	
Error	XDG0008	The name "StatusToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	8	
Error	XDG0008	The name "InverseBoolConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	9	
Error	XDG0008	The name "NullToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	10	
Error	XDG0008	The name "HexToBrushConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\DashboardView.xaml	13	
