Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	183	
Warning (active)	CS0618	'BarcodeReaderGeneric.TryInverted' is obsolete: 'Please use Options.TryInverted'	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	37	
Warning (active)	CS0618	'BarcodeReaderGeneric.TryInverted' is obsolete: 'Please use Options.TryInverted'	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	71	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	332	
Warning (active)	CS8600	Converting null literal or possible null value to non-nullable type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\HexToBrushConverter.cs	17	
Warning (active)	CS8600	Converting null literal or possible null value to non-nullable type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\StatusToVisibilityConverter.cs	16	
Warning (active)	CS8600	Converting null literal or possible null value to non-nullable type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\StatusToVisibilityConverter.cs	17	
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	141	
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	143	
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ImportService.cs	181	
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	106	
Warning (active)	CS8601	Possible null reference assignment.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	108	
Warning (active)	CS8602	Dereference of a possibly null reference.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\StatusToVisibilityConverter.cs	19	
Warning (active)	CS8602	Dereference of a possibly null reference.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\LinesViewModel.cs	205	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\HexToBrushConverter.cs	17	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	30	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	64	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	100	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	117	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\QRService.cs	146	
Warning (active)	CS8604	Possible null reference argument for parameter 'serviceProvider' in 'AlertService.AlertService(IServiceProvider serviceProvider)'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\MainViewModel.cs	28	
Warning (active)	CS8612	Nullability of reference types in type of 'event EventHandler AsyncRelayCommand.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	14	
Warning (active)	CS8612	Nullability of reference types in type of 'event EventHandler RelayCommand.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\RelayCommand.cs	12	
Warning (active)	CS8612	Nullability of reference types in type of 'event PropertyChangedEventHandler ViewModelBase.PropertyChanged' doesn't match implicitly implemented member 'event PropertyChangedEventHandler? INotifyPropertyChanged.PropertyChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	9	
Warning (active)	CS8618	Non-nullable field '_serviceProvider' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\App.xaml.cs	17	
Warning (active)	CS8618	Non-nullable property 'AlertType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AlertRule.cs	17	
Warning (active)	CS8618	Non-nullable property 'Category' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AlertRule.cs	19	
Warning (active)	CS8618	Non-nullable property 'Status' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	24	
Warning (active)	CS8618	Non-nullable property 'Notes' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	26	
Warning (active)	CS8618	Non-nullable property 'Line' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	28	
Warning (active)	CS8618	Non-nullable property 'FromUser' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	30	
Warning (active)	CS8618	Non-nullable property 'ToUser' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	32	
Warning (active)	CS8618	Non-nullable property 'EntityName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	12	
Warning (active)	CS8618	Non-nullable property 'EntityType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	15	
