Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	471	
Error (active)	CS0246	The type or namespace name 'Line' could not be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	331	
Error (active)	CS0246	The type or namespace name 'OperatorViewModel' could not be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\DashboardViewModel.cs	45	
Error (active)	CS0246	The type or namespace name 'OperatorViewModel' could not be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\DashboardViewModel.cs	50	
Error (active)	CS0246	The type or namespace name 'OperatorViewModel' could not be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\DashboardViewModel.cs	74	
Error (active)	CS0535	'ReportService' does not implement interface member 'IReportService.ExportLinesToExcelAsync(IEnumerable<Line>, string)'	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	16	
Error (active)	CS1061	'AssignmentLog' does not contain a definition for 'Worker' and no accessible extension method 'Worker' accepting a first argument of type 'AssignmentLog' could be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	491	
Error (active)	CS1061	'Line' does not contain a definition for 'IsAssigned' and no accessible extension method 'IsAssigned' accepting a first argument of type 'Line' could be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\DashboardViewModel.cs	59	
Error (active)	CS1061	'Line' does not contain a definition for 'IsAssigned' and no accessible extension method 'IsAssigned' accepting a first argument of type 'Line' could be found (are you missing a using directive or an assembly reference?)	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\DashboardViewModel.cs	60	
Warning (active)	CS1998	This async method lacks 'await' operators and will run synchronously. Consider using the 'await' operator to await non-blocking API calls, or 'await Task.Run(...)' to do CPU-bound work on a background thread.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	331	
Warning (active)	CS8600	Converting null literal or possible null value to non-nullable type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\HexToBrushConverter.cs	19	
Warning (active)	CS8603	Possible null reference return.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Converters\HexToBrushConverter.cs	19	
Warning (active)	CS8612	Nullability of reference types in type of 'event EventHandler AsyncRelayCommand.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	14	
Warning (active)	CS8612	Nullability of reference types in type of 'event EventHandler RelayCommand.CanExecuteChanged' doesn't match implicitly implemented member 'event EventHandler? ICommand.CanExecuteChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\RelayCommand.cs	12	
Warning (active)	CS8612	Nullability of reference types in type of 'event PropertyChangedEventHandler ViewModelBase.PropertyChanged' doesn't match implicitly implemented member 'event PropertyChangedEventHandler? INotifyPropertyChanged.PropertyChanged'.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	9	
Warning (active)	CS8618	Non-nullable field '_operators' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\MainViewModel.cs	24	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	20	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\RelayCommand.cs	18	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	11	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\ViewModels\ViewModelBase.cs	16	
Warning (active)	CS8629	Nullable value type may be null.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Services\ReportService.cs	221	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'parameter' of 'bool AsyncRelayCommand.CanExecute(object parameter)' doesn't match implicitly implemented member 'bool ICommand.CanExecute(object? parameter)' (possibly because of nullability attributes).	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	26	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'parameter' of 'void AsyncRelayCommand.Execute(object parameter)' doesn't match implicitly implemented member 'void ICommand.Execute(object? parameter)' (possibly because of nullability attributes).	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\AsyncRelayCommand.cs	31	
Warning (active)	CS8767	Nullability of reference types in type of parameter 'parameter' of 'bool RelayCommand.CanExecute(object parameter)' doesn't match implicitly implemented member 'bool ICommand.CanExecute(object? parameter)' (possibly because of nullability attributes).	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Commands\RelayCommand.cs	24	
